BANK,IFSC,MICR,BRANCH,ADDRESS,CITY1,CITY2,STATE,STD CODE,PHONE
ANDHRA BANK,ANDB0VAS001,,NETAJI NAGAR,"PLOT NO 14,VIJAYAPURI COLONY KAPRA ECIL POST HYDERABAD,500062",RANGAREDDY,KHAPRA,TELANGANA,40,23468616
ANDHRA BANK,ANDB0TRESUY,,RTGS-HO,"Investment and International Banking, F-8 Maker Tower, Cuffe Parade, Mumbai, INDIA - 400005",MUMBAI,MUMBAI,MAHARASHTRA,0,0
ANDHRA BANK,ANDB0CGGBHO,,CGGB HEAD OFFICE,"RAGHU MANSION,41, BRODIPET, GUNTUR 522002",GUNTUR,GUNTUR,ANDHRA PRADESH,863,2261125
ANDHRA BANK,ANDB0CG7999,,CGGB RTGS NEFT CELL,"BRODIPET,RAGHU MANSION,4TH FLOOR,GUNTUR-522002",GUNTUR,GUNTUR,ANDHRA PRADESH,0,9390478385
ANDHRA BANK,ANDB0CG7727,,CGGB PASUMARRU,"CGGB PASUMARRU, D NO 6-150 , PASUMARRU, CHILAKALURIPETA MANDAL, GUNTUR DIST, PIN - 522616",GUNTUR,PASUMARRU,ANDHRA PRADESH,0,8688836709
ANDHRA BANK,ANDB0CG7726,,PEDAKONDURU,"CHAITANYA GODAVARI GRAMEENA BANK, PEDAKONDURU BRANCH, D NO 3-61, PEDAKONDURU POST, DUGGIRALA MANDAL, GUNTUR DISTRICT",GUNTUR,PEDAKONDURU,ANDHRA PRADESH,8644,9121107057
ANDHRA BANK,ANDB0CG7725,,KOLLURU,"CHAITANYA GODAVARI GRAMEENA BANK, KOLLURU BRANCH, D NO 5-21/1, LOCK ROAD, KOLLURU POST&MANDAL, GUNTUR DISTRICT",GUNTUR,KOLLURU,ANDHRA PRADESH,8641,9121107056
ANDHRA BANK,ANDB0CG7724,,CHAMALLAMUDI,"CHAITANYA GODAVARI GRAMEENA BANK, CHAMALLAMUDI BRANCH, D NO 1-37, CHAMALLAMUDI POST VATTICHERUKURU MANDAL GUNTUR DISTRICT",GUNTUR,CHAMALLAMUDI,ANDHRA PRADESH,863,9121107055
ANDHRA BANK,ANDB0CG7723,,IPUR,"CHAITANYA GODAVARI GRAMEENA BANK, IPUR BRANCH, D NO 4-69, IPUR POST& MANDAL GUNTUR DISTRICT",GUNTUR,IPUR,ANDHRA PRADESH,8646,9121107058
ANDHRA BANK,ANDB0CG7722,,INAVOLU,"CGGB, INAVOLU BRANCH, BESIDE BUS STOP, MAIN ROAD, INAVOLU, NUZENDLA MANDAL, GUNTUR",GUNTUR,INAVOLU,ANDHRA PRADESH,8645,9121107059
